id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
3439,103828,Komb.frizider NF 3730 W Vox No Frost,1,371.9008,371.9,450,450,Frižideri,,814,Vox,https://serpapi.com/searches/67fabf6079d223557d74e9f0/images/db0b54a162f287152bba1665191bd533eb33d27db11840aba19c4070060158c5.jpeg
3440,103829,Komb.frizider NF 3735 IXE  Vox No Frost,1,414.88,414.88,502,502,Frižideri,,815,Vox,https://serpapi.com/searches/67fabf6320a0e53694a07b11/images/d8a264cf910ac7e5cf593b17d859079598d27f7d7b539739f28804d448cb13d5.jpeg
3441,103830,W/M 1060-T14D Vox,3,197.5207,592.56,239,717,Veš mašine,,816,Vox,https://serpapi.com/searches/67fabf6c0d6352f4c9310b01/images/58607d666ed7c33a3a9d2f22aac736f474924e8750913ae924e12a27d41cfa2b.jpeg
3447,103836,Komb.frizider KG 2500 E Vox,3,180.9917,542.98,219,657,Frižideri,,817,Vox,https://serpapi.com/searches/67fabf70921babcf377f723d/images/abbf65eecce2a66acbefd266a09268c699e45f4b241832280bd0fd3f477521b3.jpeg
3448,103837,Komb.frizider KG 2800 E  Vox,1,238.0165,238.02,288,288,Frižideri,,818,Vox,https://serpapi.com/searches/67fabf71085abe53124c3c79/images/849327e4be0be6fac21bfa2f352075065d21c9b4575073cab1376a1c97eacfc4.jpeg
3453,103843,Nosac RAI-L15E,8,10.7438,85.95,13,104,Ostalo,,819,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac44d4c1a65fd4147f49d/images/3d04eb18c777d80ed24a5faf5ca4ffff330feaf3fb0818d4cecaa649611a4df5.jpeg
3460,103850,Ugradni frizider IKK 3410 E Vox,1,338.84,338.84,410,410,Frižideri,,820,Vox,https://serpapi.com/searches/67fabf73dfa84c679cdfaded/images/b2ff30bbbda2236830f15be35d15aea5570a7e11504ea17c669f7d2f4f222693.jpeg
3480,103873,Elek.sporet GE6A40WB  Gorenje,1,368.595,368.6,446,446,Šporeti,,821,Gorenje,https://serpapi.com/searches/67fab4dfc458486825b65f60/images/54fc04bd8e5825138d3ed9b2ba4c7ba7bf38d2dd1c15d41c1deafe3018229b7f.jpeg
3488,103885,Ugr.aspirator PIO 650 2mix Vox,5,81.82,409.1,99,495.01,Ugradni aspiratori,,822,Vox,https://serpapi.com/searches/67fabfd0d144313e559e0847/images/2f30a58ac7bc5f83cb81527bcf3c5487623fd419fd44d98dd715f48bc360173d.png
3505,103907,Stapni mikser HB121838 Tefal,1,33.0579,33.06,40,40,Mikser,,823,Tefal,https://serpapi.com/searches/67fab4eae42479f7983ee616/images/aa87b47bb43c3921632068830e9537f8fbf2b8df102d724083883efe9e77778d.jpeg
3506,103908,Aparat za sisanje TN1400FO Rowenta,1,32.2314,32.23,39,39,Mašine za šišanje i brijanje,,824,Rowenta,https://serpapi.com/searches/67fab910aa209fad5f2c7008/images/4ebf5c99a8dea8a09839c62173d2004e4dd3afdbe8050d040eff1cfc03cf6a87.jpeg
3509,103911,Elektr.gril Fiser FS 722,1,52.8926,52.89,64,64,Grilovi,,825,Fisher,https://serpapi.com/searches/67fab4daea04d3f3d14840f2/images/ef9503bf218eece18ea2998e0047189ae1aba66e6384bd26fb0a3a1eb0416897.jpeg
3526,103928,Set nozeva BR 3017 6/1,5,9.0909,45.45,11,55,Stono posuđe,,826,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac49636eaf080f8c5fe8c/images/ff08df05f6d5117c835b356eb30f699f6fda2bbffbe96bd71a3f2c8d7e6ee90d.jpeg
3530,103932,Set kuhinjskih posuda BR 2405 Fiser,2,12.3967,24.79,15,30,Stono posuđe,,827,Fisher,https://serpapi.com/searches/67fab883a591ecd2521f198a/images/545d3cdc00b21c159a57867bbadc370061d855b6e9dc78be6d6592b9b6f39f90.jpeg
